batter,pitcher,hits,ab,hr,rbi,team,source_url
Mark Vientos,Cristopher Sánchez,6,17,2.0,6.0,NYM,
Chase Meidroth,Troy Melton,2,6,0.0,0.0,CWS,
Trevor Story,Griffin Jax,2,6,0.0,0.0,BOS,
Brett Bateman,Chris Bassitt,2,3,0.0,0.0,TOR,
Carter Jensen,Anthony Kay,2,3,0.0,2.0,KC,
Garrett Mitchell,Zack Wheeler,2,3,0.0,1.0,MIL,
Griffin Conine,Shota Imanaga,2,3,0.0,0.0,MIA,
Jordan Walker,Jared Jones,2,3,0.0,0.0,STL,
José Fermín,Jared Jones,2,3,0.0,0.0,STL,
Masyn Winn,Jared Jones,2,3,0.0,1.0,STL,
Roman Anthony,Parker Messick,2,3,0.0,0.0,BOS,
Jorge Mateo,Carlos Rodón,4,7,1.0,1.0,TB — G1,
Nolan Arenado,Kyle Freeland,5,10,0.0,1.0,AZ,
Geraldo Perdomo,Kyle Freeland,3,6,0.0,0.0,AZ,
Lars Nootbaar,Kyle Freeland,3,6,1.0,3.0,AZ,
Brandon Lowe,Andre Pallante,2,4,0.0,1.0,PIT,
Dylan Beavers,Max Scherzer,2,4,1.0,3.0,BAL,
Ezequiel Tovar,Michael Soroka,2,4,0.0,1.0,COL,
Ben Rice,Nick Martinez,3,7,0.0,2.0,NYY — G1,
Cal Raleigh,Cristian Javier,3,7,1.0,4.0,SEA,
Colton Cowser,Max Scherzer,3,7,2.0,4.0,BAL,
Corbin Carroll,Kyle Freeland,5,12,1.0,2.0,AZ,
Gunnar Henderson,Max Scherzer,4,10,0.0,2.0,BAL,
Austin Wells,Nick Martinez,2,5,2.0,2.0,NYY — G1,
Ildemaro Vargas,Kyle Freeland,2,5,0.0,1.0,AZ,
Kazuma Okamoto,Chris Bassitt,2,5,1.0,1.0,TOR,
Maikel Garcia,Anthony Kay,2,5,0.0,0.0,KC,
Myles Straw,Chris Bassitt,5,13,0.0,1.0,TOR,
Jose Altuve,Logan Gilbert,15,40,2.0,2.0,HOU,
Jonah Heim,Yusei Kikuchi,6,16,0.0,5.0,ATH,
Jake Burger,Sean Manaea,3,8,2.0,3.0,TEX,
Miguel Vargas,Daniel Lynch IV,3,8,0.0,1.0,CWS,
Spencer Horwitz,Andre Pallante,3,8,1.0,1.0,PIT,
Troy Johnston,Michael Soroka,3,8,0.0,1.0,COL,
George Springer,Chris Bassitt,9,26,2.0,3.0,TOR,
Ketel Marte,Kyle Freeland,17,51,3.0,6.0,AZ,
Corey Seager,Sean Manaea,3,9,1.0,1.0,TEX,
Mark Vientos,MacKenzie Gore,3,9,1.0,1.0,NYM,
Bobby Witt Jr.,Anthony Kay,2,6,0.0,1.0,KC,
Jared Triolo,Andre Pallante,2,6,0.0,0.0,PIT,
Jonny DeLuca,Max Fried,2,6,0.0,3.0,TB — G2,
Nathan Lukes,Chris Bassitt,2,6,0.0,0.0,TOR,
Anthony Volpe,Freddy Peralta,2,4,1.0,1.0,NYY,
Cody Bellinger,Freddy Peralta,6,14,1.0,3.0,NYY,
Ben Rice,Freddy Peralta,2,5,1.0,1.0,NYY,
Eugenio Suárez,Tyler Mahle,3,3,1.0,1.0,CIN,
Henry Bolte,Peter Lambert,3,3,0.0,0.0,ATH,
David Fry,Ranger Suárez,4,5,0.0,2.0,CLE,
Jake Mangum,Kyle Leahy,3,4,0.0,0.0,PIT,
Trea Turner,Bryse Wilson,3,4,0.0,2.0,PHI,
Chase DeLauter,Ranger Suárez,2,3,0.0,1.0,CLE,
Garrett Mitchell,Andrew Painter,2,3,0.0,0.0,MIL,
JJ Wetherholt,Paul Skenes,2,3,1.0,1.0,STL,
Sal Stewart,Tyler Mahle,2,3,2.0,6.0,CIN,
Zack Gelof,Peter Lambert,2,3,0.0,0.0,ATH,
José Ramírez,Ranger Suárez,5,8,0.0,1.0,CLE,
Andrew Benintendi,Randy Dobnak,3,5,2.0,2.0,CWS,
Cody Bellinger,Ian Seymour,3,5,1.0,2.0,NYY,
Ronald Acuña Jr.,Brady Singer,3,5,1.0,1.0,ATL,
Tyrone Taylor,Tyler Phillips,3,5,1.0,2.0,CHC,
Ke’Bryan Hayes,Tyler Mahle,7,12,1.0,3.0,CIN,
Ben Rice,Ian Seymour,3,6,2.0,4.0,NYY,
Brandon Lowe,Kyle Leahy,2,4,1.0,1.0,PIT,
Michael Conforto,Tyler Phillips,2,4,0.0,0.0,CHC,
Ryan O’Hearn,Kyle Leahy,2,4,1.0,2.0,PIT,
Sean Murphy,Brady Singer,5,11,2.0,5.0,ATL,
J.T. Realmuto,Bryse Wilson,3,7,0.0,3.0,PHI,
Nick Gonzales,Kyle Leahy,3,7,0.0,1.0,PIT,
Taylor Walls,Cam Schlittler,3,7,0.0,0.0,TB,
Will Smith,Nick Pivetta,3,7,1.0,4.0,LAD,
Alec Burleson,Paul Skenes,8,20,0.0,5.0,STL,
Jake McCarthy,Eduardo Rodriguez,2,5,0.0,1.0,COL,
James McCann,Tanner Gordon,2,5,0.0,2.0,AZ,
Jo Adell,Ranger Suárez,2,5,0.0,1.0,CLE,
Richie Palacios,Cam Schlittler,2,5,0.0,2.0,TB,
Freddie Freeman,Nick Pivetta,16,41,2.0,8.0,LAD,
Oneil Cruz,Kyle Leahy,3,8,1.0,1.0,PIT,
Chandler Simpson,Cam Schlittler,4,12,0.0,1.0,TB,
Jordan Beck,Eduardo Rodriguez,3,9,0.0,1.0,COL,
Bryce Harper,Bryse Wilson,2,6,1.0,3.0,PHI,
Edmundo Sosa,Bryse Wilson,2,6,0.0,1.0,PHI,
Enrique Hernández,Nick Pivetta,2,6,0.0,1.0,LAD,
Ketel Marte,Tanner Gordon,2,6,0.0,1.0,AZ,
Mickey Moniak,Eduardo Rodriguez,2,6,0.0,1.0,COL,
Ezequiel Tovar,Eduardo Rodriguez,5,16,0.0,2.0,COL,
Shohei Ohtani,Nick Pivetta,5,16,2.0,3.0,LAD,
Ronald Acuña Jr.,Eury Pérez,4,9,,,ATL,
Drake Baldwin,Eury Pérez,4,9,,,ATL,
Michael Harris II,Eury Pérez,4,9,,,ATL,
Austin Riley,Eury Pérez,3,7,,,ATL,
Dominic Smith,Eury Pérez,3,7,,,ATL,
Mauricio Dubón,Eury Pérez,2,5,,,ATL,
Adley Rutschman,Clay Holmes,2,4,,,BOS G1,
Willson Contreras,Clay Holmes,5,11,,,BOS G1,
Isiah Kiner-Falefa,Clay Holmes,3,7,,,BOS G1,
Wilyer Abreu,Clay Holmes,2,5,,,BOS G1,
Isiah Kiner-Falefa,David Peterson,3,5,,,BOS G2,
Jarren Duran,David Peterson,2,4,,,BOS G2,
Andruw Monasterio,David Peterson,2,5,,,BOS G2,
Michael Busch,Brayan Bello,2,3,,,CHC G2,
Nico Hoerner,Brayan Bello,3,6,,,CHC G2,
Alex Bregman,Brayan Bello,3,7,,,CHC G2,
José Ramírez,Noah Cameron,4,8,,,CLE,
Isaac Collins,Gavin Williams,3,4,,,KC,
Salvador Perez,Gavin Williams,7,20,,,KC,
Josh Lowe,Bryce Miller,5,9,,,LAA,
Adam Frazier,Bryce Miller,4,9,,,LAA,
Mookie Betts,Yunior Marte,3,3,,,LAD,
Will Smith,Yunior Marte,2,3,,,LAD,
Christian Yelich,Michael McGreevy,3,6,,,MIL,
Jake Bauers,Michael McGreevy,2,4,,,MIL,
Garrett Mitchell,Michael McGreevy,2,5,,,MIL,
Francisco Lindor,Andrew Alvarez,2,4,,,NYM,
Juan Soto,Andrew Alvarez,2,4,,,NYM,
Heliot Ramos,Trevor Rogers,3,6,,,NYY G1,
Austin Wells,Trevor Rogers,2,4,,,NYY G1,
Ryan McMahon,Trevor Rogers,2,6,,,NYY G1,
Ben Rice,Brandon Young,2,3,,,NYY G2,
Luis García Jr.,Brandon Young,3,5,,,NYY G2,
Edmundo Sosa,Freddy Peralta,2,5,,,PHI,
J.T. Realmuto,Freddy Peralta,4,12,,,PHI,
Bryce Harper,Freddy Peralta,5,16,,,PHI,
Jake Cronenworth,Brandon Pfaadt,11,27,,,SD,
Luis Campusano,Brandon Pfaadt,3,8,,,SD,
Julio Rodríguez,Reid Detmers,6,15,,,SEA,
J.P. Crawford,Reid Detmers,9,23,,,SEA,
Randy Arozarena,Reid Detmers,5,16,,,SEA,
Jordan Walker,Robert Gasser,2,4,,,STL,
Iván Herrera,Robert Gasser,2,4,,,STL,
